"id","grade","cal_year","measure","score","time","program_year","time_cont","student_year","domain_type","grade_diff","start_grade_diff","fall_score","spring_score","raw_growth","start_grade_diff_c","time_c"
"101517",7,2015,"ue",NA,1,1,1,"101517_2015","writing",NA,NA,NA,NA,NA,NA,-1.04895489548955
"101517",7,2015,"lang",NA,1,1,1,"101517_2015","composite",NA,NA,NA,NA,NA,NA,-1.04895489548955
"101517",7,2015,"wf",7.8,1,1,1,"101517_2015","writing",0.8,0.8,7.8,6.3,-1.5,1.21878554700569,-1.04895489548955
"101517",7,2015,"ed",3.1,1,1,1,"101517_2015","other",-3.9,-3.9,3.1,7.1,4,-3.48121445299431,-1.04895489548955
"101517",7,2015,"ws",6,1,1,1,"101517_2015","writing",-1,-1,6,9.6,3.6,-0.581214452994312,-1.04895489548955
"101517",7,2015,"ce",4.1,1,1,1,"101517_2015","math",-2.9,-2.9,4.1,4.8,0.7,-2.48121445299431,-1.04895489548955
"101517",7,2015,"psdi",2,1,1,1,"101517_2015","math",-5,-5,2,5.1,3.1,-4.58121445299431,-1.04895489548955
"101517",7,2015,"comp",3,1,1,1,"101517_2015","composite",-4,-4,3,4.9,1.9,-3.58121445299431,-1.04895489548955
"101517",7,2015,"calc",2.7,1,1,1,"101517_2015","math",-4.3,-4.3,2.7,6.1,3.4,-3.88121445299431,-1.04895489548955
"101517",7,2015,"mf",6.7,1,1,1,"101517_2015","math",-0.3,-0.3,6.7,9.5,2.8,0.118785547005688,-1.04895489548955
"101517",8,2016,"rc",7.7,1,2,3,"101517_2016","reading",-0.3,-0.3,7.7,9.7,2,0.118785547005688,0.951045104510451
"101517",8,2016,"lwid",7.7,1,2,3,"101517_2016","reading",-0.3,-0.3,7.7,12.5,4.8,0.118785547005688,0.951045104510451
"101517",8,2016,"wa",10.2,1,2,3,"101517_2016","reading",2.2,2.2,10.2,12.9,2.7,2.61878554700569,0.951045104510451
"101517",8,2016,"ed",8,1,2,3,"101517_2016","other",0,0,8,7.1,-0.9,0.418785547005688,0.951045104510451
"101517",8,2016,"wf",12.9,1,2,3,"101517_2016","writing",4.9,4.9,12.9,12.9,0,5.31878554700569,0.951045104510451
"101517",8,2016,"ws",8.4,1,2,3,"101517_2016","writing",0.4,0.4,8.4,12.5,4.1,0.818785547005688,0.951045104510451
"101517",8,2016,"calc",5.7,1,2,3,"101517_2016","math",-2.3,-2.3,5.7,7.4,1.7,-1.88121445299431,0.951045104510451
"101517",8,2016,"comp",6.5,1,2,3,"101517_2016","composite",-1.5,-1.5,6.5,7.3,0.8,-1.08121445299431,0.951045104510451
"101517",8,2016,"psdi",5.2,1,2,3,"101517_2016","math",-2.8,-2.8,5.2,6.9,1.7,-2.38121445299431,0.951045104510451
"101517",8,2016,"mf",8.7,1,2,3,"101517_2016","math",0.699999999999999,0.699999999999999,8.7,9.5,0.800000000000001,1.11878554700569,0.951045104510451
"1020810",9,2009,"rc",4,1,1,1,"1020810_2009","reading",-5,-5,4,6.4,2.4,-4.58121445299431,-1.04895489548955
